ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
05__7__0,38,7,1.536006078536957,1.5360060785369565,1.5360060785369556,1.5491323075113237,1.5491323075113237,1.6537593644669693,8.345214939127786,8.345214939127786,8.345214939127786,6.386425495147705,10.406782627105711,24.264183521270752,0.0009944438934326,0.0010242462158203,0.0,0.0009775161743164,0.0,0.0,149,156,114
05__7__1,38,7,1.536006078536957,1.5360060785369565,1.5360060785369554,1.5491323075113237,1.5491323075113237,1.6537593644669693,2.8434450591157554,2.8434450591157554,2.8434450591157554,5.607798099517822,9.3140287399292,27.574506521224976,0.0010387897491455,0.0009145736694335,0.0,0.0,0.0022828578948974,0.0020420551300048,130,143,133
05__10__0,38,10,1.048881870871822,1.079804345212452,1.048881870871821,1.0707726828863922,1.0707726828863922,1.105654019495556,8.345214939127786,8.345214939127786,8.345214939127786,5.077508687973023,10.470468997955322,34.50878834724426,0.0010077953338623,0.0,0.0,0.0,0.0,0.0010077953338623,137,138,180
05__10__1,38,10,1.049325846526148,1.079804345212452,1.048881870871821,1.0707726828863922,1.0707726828863922,1.105654019495556,1.5818895768133836,1.491799835897305,1.5318081336066207,5.326940059661865,15.466073751449583,35.37778997421265,0.0,0.0009992122650146,0.0009987354278564,0.0,0.0019984245300292,0.0019998550415039,141,207,182
06__3__0,10,3,0.3992195714814557,0.3992195714814557,0.3992195714814556,0.3992195714814557,0.3992195714814557,0.5021474797356891,0.8182082096250053,0.8182082096250053,0.8182082096250053,1.605370044708252,1.5971994400024414,4.688558101654053,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
06__3__1,10,3,0.3992195714814557,0.3992195714814557,0.3992195714814556,0.3992195714814557,0.3992195714814557,0.5021474797356891,0.4954292447370012,0.4954292447370012,0.4954292447370012,1.645167112350464,1.5895957946777344,4.805460691452026,0.0,0.0,0.0,0.0,0.0,0.0010251998901367,100,100,100
06__5__0,10,5,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.8182082096250053,0.8182082096250053,0.8182082096250053,1.5591778755187988,1.8144512176513672,4.035478353500366,0.0009877681732177,0.0,0.0,0.0,0.0,0.0010173320770263,100,100,100
06__5__1,10,5,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.1573140376757145,0.376630759911452,0.1865331351345991,0.1573140376757145,1.5574874877929688,1.7377989292144775,4.093862533569336,0.0,0.0,0.0,0.0009989738464355,0.0,0.0009989738464355,100,100,100
06__7__0,10,7,0.0595418493681211,0.0595418493681211,0.0595418493681211,0.0642913680273693,0.0642913680273693,0.0595418493681211,0.8182082096250053,0.8182082096250053,0.8182082096250053,1.557323932647705,1.979219436645508,3.4818601608276367,0.0,0.0,0.0,0.0,0.0,0.0009982585906982,100,100,100
06__7__1,10,7,0.0595418493681211,0.0595418493681211,0.0595418493681211,0.0642913680273693,0.0642913680273693,0.0595418493681211,0.0595418493681211,0.0595418493681211,0.0595418493681211,1.538590908050537,2.0453848838806152,3.377150535583496,0.0,0.0010910034179687,0.0,0.0,0.0,0.0,100,100,100
