ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
19__7__0,51,7,2.551121795,2.551121795,2.551121795,3.397920965,3.515759105,3.358038414,11.28561005,10.98259409,11.28561005,8.213906288,12.87433505,38.43131828,0.000978708,0.000994682,0.001028776,0.0,0.000997782,0.000896215,132,132,115
19__7__1,51,7,2.551121795,2.551121795,2.551121795,3.397920965,3.515759105,3.358038414,3.666937282,3.666937282,3.812312718,7.986982822,12.12736201,38.6780138,0.001002312,0.001009226,0.000961542,0.001028538,0.003998041,0.004013538,128,125,116
19__10__0,51,10,1.940916675,1.941227872,1.940916675,2.226549046,2.318267785,2.261795309,11.28561005,10.98259409,11.28561005,9.247639656,16.8841753,47.105546,0.001000166,0.000998259,0.0,0.001000166,0.000999928,0.000999689,168,159,146
19__10__1,51,10,1.940916675,1.941227872,1.940916675,2.226549046,2.318267785,2.261795309,2.843022776,2.843022776,2.85126411,10.47301722,20.82604051,39.18237591,0.001041651,0.0,0.0,0.000901461,0.003981829,0.003985643,192,196,127
22__3__0,18,3,0.470446973,0.470446973,0.470446973,0.518404027,0.518404027,0.470446973,2.101097277,2.101097277,2.101097277,2.213513851,2.468423843,7.905012608,0.0,0.001075745,0.0,0.0,0.0,0.0,100,100,100
22__3__1,18,3,0.470446973,0.470446973,0.470446973,0.518404027,0.518404027,0.470446973,0.695901885,0.695901885,0.64476308,2.216049194,2.439125061,7.95415616,0.0,0.0,0.001006365,0.0,0.0,0.001019716,100,100,100
22__5__0,18,5,0.255761841,0.255761841,0.255761841,0.289114087,0.289114087,0.256044329,2.101097277,2.101097277,2.101097277,2.101139069,2.6653018,7.149471045,0.0,0.001000404,0.0,0.0,0.0,0.0,100,100,100
22__5__1,18,5,0.255761841,0.255761841,0.255761841,0.289114087,0.289114087,0.256044329,0.255761841,0.255761841,0.255761841,2.117009163,2.67722249,7.428718328,0.0,0.0,0.001082659,0.000503063,0.0,0.00101018,101,100,100
22__7__0,18,7,0.150267862,0.150267862,0.150267862,0.150267862,0.150267862,0.167201147,2.101097277,2.101097277,2.101097277,2.084534407,2.994129896,6.997210741,0.0,0.0,0.000999212,0.0,0.0,0.0,104,102,103
22__7__1,18,7,0.150267862,0.150267862,0.150267862,0.150267862,0.150267862,0.167201147,0.150267862,0.150267862,0.150267862,2.054848194,3.069440365,6.88829422,0.000999451,0.0,0.0,0.001000881,0.0,0.000987768,103,102,102
23__3__0,11,3,0.352200714,0.352200714,0.352200714,0.352200714,0.352200714,0.352200714,0.754714222,0.754714222,0.754714222,1.633956194,1.700654268,4.704030514,0.0,0.0,0.0,0.0,0.000986814,0.0,100,100,100
23__3__1,11,3,0.352200714,0.352200714,0.352200714,0.352200714,0.352200714,0.352200714,0.378024827,0.360047633,0.378024827,1.639400721,1.701146126,4.749538422,0.0,0.0,0.0,0.0,0.001024961,0.0,100,100,100
23__5__0,11,5,0.168526335,0.168526335,0.168526335,0.185265174,0.185265174,0.185265174,0.754714222,0.754714222,0.754714222,1.609564066,1.823549747,4.186062336,0.0,0.0,0.001000404,0.0,0.0,0.0,101,100,100
